"item_num","code","omop_concept_id","omop_source_concept_id","target_domain_id","rationale","reviewer","reviewed_at"
"3915","","","","","progesteroneRecepSummary","",""
"3916","","","","","progesteroneRecepTotalAllredScor","",""
"3917","","","","","primarySclerosingCholangitis","",""
"3918","","","","","profoundImmuneSuppression","",""
"3919","","","","","prostatePathologicalExtension","",""
"3920","","","","","psaLabValue","",""
"3921","","","","","residualTumVolPostCytoreduction","",""
"3922","","","","","responseToNeoadjuvantTherapy","",""
"3923","","","","","sCategoryClinical","",""
"3924","","","","","sCategoryPathological","",""
"3925","","","","","sarcomatoidFeatures","",""
"3926","","","","","schemaDiscriminator1","",""
"3927","","","","","schemaDiscriminator2","",""
"3928","","","","","schemaDiscriminator3","",""
"3929","","","","","separateTumorNodules","",""
"3930","","","","","serumAlbuminPretreatmentLevel","",""
"3931","","","","","serumBeta2MicroglobulinPretxLvl","",""
"3932","","","","","ldhPretreatmentLabValue","",""
"3933","","","","","thrombocytopenia","",""
"3934","","","","","tumorDeposits","",""
"3935","","","","","tumorGrowthPattern","",""
"3936","","","","","ulceration","",""
"3937","","","","","visceralParietalPleuralInvasion","",""
"3938","","","","","alkRearrangement","",""
"3939","","","","","egfrMutationalAnalysis","",""
"3940","","","","","brafMutationalAnalysis","",""
"3941","","","","","nrasMutationalAnalysis","",""
"3942","","","","","ca199PretxLabValue","",""
"3943","","","","","ncdbSarsCov2Test","",""
"3944","","","","","ncdbSarsCov2Pos","",""
"3945","","","","","ncdbSarsCov2PosDate","",""
"3946","","","","","ncdbCovid19TxImpact","",""
"3950","","","","","macroscopicEvalOfTheMesorectum","",""
"3955","","","","","derivedRaiStage","",""
"3956","","","","","p16","",""
"3957","","","","","lnStatusPelvic","",""
"3958","","","","","lnStatusParaAortic","",""
"3959","","","","","lnStatusFemoralInguinal","",""
"3960","","","","","histologicSubtype","",""
"3961","","","","","clinicalMarginWidth","",""
"3964","","","","","brainPrimaryTumorLocation","",""
"7010","","","","","pathReportingFacId1","",""
"7011","","","","","pathReportingFacId2","",""
"7012","","","","","pathReportingFacId3","",""
"7013","","","","","pathReportingFacId4","",""
"7014","","","","","pathReportingFacId5","",""
"7090","","","","","pathReportNumber1","",""
"7091","","","","","pathReportNumber2","",""
"7092","","","","","pathReportNumber3","",""
"7093","","","","","pathReportNumber4","",""
"7094","","","","","pathReportNumber5","",""
"7100","","","","","pathOrderPhysLicNo1","",""
"7101","","","","","pathOrderPhysLicNo2","",""
"7102","","","","","pathOrderPhysLicNo3","",""
"7103","","","","","pathOrderPhysLicNo4","",""
"7104","","","","","pathOrderPhysLicNo5","",""
"7190","","","","","pathOrderingFacNo1","",""
"7191","","","","","pathOrderingFacNo2","",""
"7192","","","","","pathOrderingFacNo3","",""
"7193","","","","","pathOrderingFacNo4","",""
"7194","","","","","pathOrderingFacNo5","",""
"7320","","","","","pathDateSpecCollect1","",""
"7321","","","","","pathDateSpecCollect2","",""
"7322","","","","","pathDateSpecCollect3","",""
"7323","","","","","pathDateSpecCollect4","",""
"7324","","","","","pathDateSpecCollect5","",""
"7480","","","","","pathReportType1","",""
"7481","","","","","pathReportType2","",""
"7482","","","","","pathReportType3","",""
"7483","","","","","pathReportType4","",""
"7484","","","","","pathReportType5","",""
